ČÍSLO,OBEC,POČET VOLIČŮ,VYDANÉ OBÁLKY,PLATNÉ HLASY,Občanská demokratická strana,Řád národa  Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,ROZUMNÍstop migraci.diktát.EU,Strana svobodných občanů,Blok proti islam.Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Česká národní fronta,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPRRepubl.str.Čsl. M.Sládka,Křesť.demokr.unieČs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.T.Okamura (SPD),Strana Práv Občanů
597821,Sosnová,340,203,202,11,0,0,12,0,2,29,2,5,0,0,0,7,0,0,1,86,0,1,14,0,1,1,2,26,2
568198,Staré Těchanovice,130,69,69,8,0,0,6,0,2,6,0,2,0,0,0,7,0,0,0,25,0,0,0,0,0,1,0,12,0
510343,Stěbořice,1148,759,758,56,1,0,35,0,27,45,7,6,11,0,0,56,0,1,23,237,0,0,139,0,4,4,1,105,0
512869,Strahovice,725,456,452,17,0,0,33,0,6,24,2,5,2,0,0,34,0,0,10,166,1,0,73,0,7,2,0,69,1
510378,Sudice,508,270,269,20,1,0,14,0,8,15,3,1,2,0,0,22,0,0,10,108,0,1,14,0,1,2,0,46,1
547131,Svatoňovice,222,100,99,4,0,0,7,0,1,13,2,1,2,0,0,2,0,0,1,25,0,1,5,0,1,0,0,32,2
510432,Šilheřovice,1277,781,780,63,2,1,32,1,17,41,6,2,6,0,0,43,0,0,21,319,0,1,90,3,5,1,2,122,2
568333,Štáblovice,531,334,332,14,2,0,18,0,11,33,3,1,4,0,0,25,0,0,3,138,0,0,24,0,7,0,0,48,1
510483,Štěpánkovice,2556,1520,1518,97,2,0,118,1,29,47,10,13,14,1,0,97,0,1,94,592,1,1,189,1,10,4,4,187,5
510491,Štítina,990,637,625,60,0,0,54,0,16,45,6,7,16,0,0,59,0,0,18,216,0,3,51,0,6,0,1,63,4
512745,Těškovice,714,477,476,22,1,0,53,1,19,30,4,5,6,0,0,29,1,0,7,175,1,3,72,0,1,0,2,44,0
569101,Třebom,196,90,89,5,0,0,6,0,4,8,0,0,4,0,0,5,0,0,0,33,0,0,6,0,0,0,0,16,2
568341,Uhlířov,285,180,180,8,0,0,10,0,8,11,0,4,0,1,0,17,0,0,2,73,0,1,7,0,1,2,1,32,2
510891,Velké Heraltice,1283,697,694,23,0,0,53,0,56,73,6,4,7,0,1,44,0,0,18,265,0,0,39,1,1,1,1,99,2
510939,Velké Hoštice,1439,954,948,76,0,0,59,1,24,39,15,3,11,0,1,87,0,2,52,302,0,1,123,0,6,1,1,143,1
570036,Větřkovice,609,392,389,21,1,1,37,2,21,31,5,2,3,1,0,29,0,1,7,124,0,0,66,1,3,0,0,32,1
511021,Vítkov,4791,2480,2459,142,2,3,192,5,53,286,19,14,18,1,3,223,0,3,44,1000,3,8,113,1,7,6,4,304,5
511161,Vršovice,418,276,275,21,0,0,26,0,7,10,6,5,5,0,0,36,0,0,21,93,0,0,17,0,1,1,0,24,2
568244,Vřesina,1254,815,811,49,0,1,73,0,23,30,10,7,8,0,0,59,0,0,35,341,0,0,76,0,6,0,2,90,1
553492,Závada,470,308,306,14,0,0,27,0,6,7,1,0,3,0,0,25,0,1,8,133,1,0,29,1,1,1,3,42,3
